anio,codigo_delito_snic_id,codigo_delito_snic_nombre,cantidad_hechos,cantidad_victimas,cantidad_victimas_masc,cantidad_victimas_fem,cantidad_victimas_sd,tasa_hechos,tasa_victimas,tasa_victimas_masc,tasa_victimas_fem
2007,16,Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte),21846,,,,,55.250561,,,
2007,17,Robos agravados por el resultado de lesiones y/o muertes ,12797,,,,,32.364799,,,
2007,18,Tentativas de robo agravado por el resultado de lesiones y/o muertes,1315,,,,,3.325757,,,
2007,19,Hurtos,248510,,,,,628.50482,,,
2007,2,Homicidios dolosos en grado de tentativa,780,827,607,159,61,1.9726924,2.0915596,3.1380606,.78725749
2007,20,Tentativas de hurto,16287,,,,,41.191334,,,
2007,21,Otros delitos contra la propiedad,79509,,,,,201.08563,,,
2007,22,Delitos contra la seguridad pública,5421,,,,,13.710212,,,
2007,23,Delitos contra el orden público,1815,,,,,4.5903034,,,
2007,24,Delitos contra la seguridad de la nación,112,,,,,.28325838,,,
2007,25,Delitos contra los poderes públicos y el orden constitucional,767,,,,,1.9398142,,,
2007,26,Delitos contra la administración pública,13258,,,,,33.530712,,,
2007,27,Delitos contra la fe pública,4249,,,,,10.746116,,,
2007,28,Ley 23.737 (estupefacientes),23638,,,,,59.782696,,,
2007,29,Otros delitos previstos en leyes especiales,23066,,,,,58.336056,,,
2007,3,Muertes en accidentes viales,3786,4364,3050,945,369,9.5751457,11.036961,15.767849,4.6789832
2007,30,Contravenciones,133316,,,,,337.16855,,,
2007,31,Suicidios (consumados),2768,2768,0,0,2768,7.6852694,7.6852694,0,0
2007,4,Homicidios culposos por otros hechos,681,727,386,184,157,1.7223122,1.8386505,1.9955376,.91104013
2007,5,Lesiones dolosas,139142,146308,68955,54432,22921,351.90302,370.02652,356.48264,269.50943
2007,6,Lesiones culposas en Accidentes Viales,97056,111177,62776,30321,18080,245.46362,281.17694,324.53851,150.12852
2007,7,Lesiones culposas por otros hechos,10355,10920,5563,3382,1975,26.188755,27.617693,28.759523,16.745314
2007,8,Otros delitos contra las personas,22601,23753,9868,10705,3180,57.160027,60.07354,51.015453,53.003723
2007,9,Delitos contra el honor,640,650,86,235,329,1.6186194,1.6439103,.44460166,1.1635567
2008,1,Homicidios dolosos,2305,2377,1952,358,67,5.7694583,5.9496756,9.9895992,1.75392
2008,10,Abusos sexuales con acceso carnal (violaciones),3368,3494,358,2687,449,8.4301672,8.7455473,1.8321089,13.164198
2008,11,Otros delitos contra la integridad sexual,6994,7297,713,5070,1514,17.506113,18.264528,3.6488647,24.839033
2008,12,Delitos contra el estado civil,124,,,,,.31037432,,,
2008,13,Amenazas,142714,,,,,357.21582,,,
2008,14,Otros delitos contra la libertad,14914,14916,0,4,14912,37.330021,37.335026,0,.019596871
2008,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),361716,,,,,905.3819,,,
2008,16,Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte),25116,,,,,62.865818,,,
2008,17,Robos agravados por el resultado de lesiones y/o muertes ,10048,,,,,25.150331,,,
2008,18,Tentativas de robo agravado por el resultado de lesiones y/o muertes,1485,,,,,3.7169828,,,
2008,19,Hurtos,272825,,,,,682.88605,,,
2008,2,Homicidios dolosos en grado de tentativa,993,1036,702,193,141,2.4854975,2.5931275,3.592571,.94554901
2008,20,Tentativas de hurto,11380,,,,,28.484352,,,
2008,21,Otros delitos contra la propiedad,86661,,,,,216.91411,,,
2008,22,Delitos contra la seguridad pública,5992,,,,,14.998088,,,
2008,23,Delitos contra el orden público,2126,,,,,5.3214178,,,
2008,24,Delitos contra la seguridad de la nación,36,,,,,.09010867,,,
2008,25,Delitos contra los poderes públicos y el orden constitucional,144,,,,,.36043468,,,
2008,26,Delitos contra la administración pública,16101,,,,,40.301105,,,
2008,27,Delitos contra la fe pública,3567,,,,,8.9282675,,,
2008,28,Ley 23.737 (estupefacientes),30003,,,,,75.098068,,,
2008,29,Otros delitos previstos en leyes especiales,30986,,,,,77.55854,,,
2008,3,Muertes en accidentes viales,3997,4554,3260,954,340,10.004566,11.398747,16.683449,4.6738539
2008,30,Contravenciones,115342,,,,,288.70319,,,
2008,31,Suicidios (consumados),3127,3130,0,4,3126,8.5876913,8.5959301,0,.021402759
2008,4,Homicidios culposos por otros hechos,617,641,427,131,83,1.5443625,1.604435,2.1852248,.64179754
2008,5,Lesiones dolosas,146338,154360,73586,58955,21819,366.28674,386.36597,376.58536,288.83337
2008,6,Lesiones culposas en Accidentes Viales,105615,121598,71923,34013,15662,264.35632,304.36206,368.07477,166.63708
2008,7,Lesiones culposas por otros hechos,9801,10335,4586,2821,2928,24.532085,25.868698,23.469416,13.820693
2008,8,Otros delitos contra las personas,29335,30411,12389,11426,6596,73.426056,76.119301,63.402225,55.978462
2008,9,Delitos contra el honor,247,257,47,201,9,.6182456,.6432758,.24052826,.98474276
2009,1,Homicidios dolosos,2616,2645,1048,198,1399,6.4803905,6.5522299,5.3091521,.9598403
2009,10,Abusos sexuales con acceso carnal (violaciones),4386,4429,238,2130,2061,10.865058,10.971579,1.2057043,10.325555
2009,11,Otros delitos contra la integridad sexual,7615,7893,561,4323,1628,18.863981,19.552647,2.8420174,20.956512
2009,12,Delitos contra el estado civil,168,,,,,.41617188,,,
2009,13,Amenazas,141543,,,,,350.63223,,,
2009,14,Otros delitos contra la libertad,9576,9593,3,11,8500,23.721796,23.763908,.015197954,.053324461
2009,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),367975,,,,,911.55261,,,
2009,16,Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte),15340,,,,,38.000454,,,
